e, f, group, score, freq, n, avgDeadEnemies, avgAliveFriends, avgAlive
2,  0, g4, 2, 748, 11, 0.954089, 0.000000, 0.905785
2,  0, g4, 3, 89, 11, 0.317845, 0.000000, 0.158923
2,  0, g5, 0, 192, 11, 0.000000, 0.000000, 0.000000
2,  0, g5, 1, 864, 11, 0.156847, 0.000000, 0.843153
2,  0, g5, 2, 763, 11, 0.865856, 0.000000, 0.819306
2,  0, g5, 3, 181, 11, 0.536370, 0.000000, 0.268185
2,  0, g6, 0, 90, 11, 0.000000, 0.000000, 0.000000
2,  0, g6, 1, 1118, 11, 0.117068, 0.000000, 0.882932
2,  0, g6, 2, 699, 11, 0.898263, 0.000000, 0.832176
2,  0, g6, 3, 93, 11, 1.089269, 0.000000, 0.544634
2,  0, g7, 0, 182, 11, 0.000000, 0.000000, 0.000000
2,  0, g7, 1, 947, 11, 0.138983, 0.000000, 0.829189
2,  0, g7, 2, 733, 11, 1.018863, 0.000000, 0.981137
2,  0, g7, 3, 138, 11, 0.697808, 0.000000, 0.348904
2,  0, g8, 0, 233, 11, 0.000000, 0.000000, 0.000000
2,  0, g8, 1, 1004, 11, 0.140024, 0.000000, 0.859976
2,  0, g8, 2, 665, 11, 0.881190, 0.000000, 0.849120
2,  0, g8, 3, 98, 11, 0.690415, 0.000000, 0.345208
2,  0, g9, 0, 94, 11, 0.000000, 0.000000, 0.000000
2,  0, g9, 1, 969, 11, 0.160961, 0.000000, 0.839039
2,  0, g9, 2, 769, 11, 0.896776, 0.000000, 0.834414
2,  0, g9, 3, 168, 11, 0.709162, 0.000000, 0.354581
3,  0, dumb, 0, 1157, 11, 0.000000, 0.000000, 0.000000
3,  0, dumb, 1, 634, 11, 0.291539, 0.000000, 0.667229
3,  0, dumb, 2, 167, 11, 0.950152, 0.000000, 0.796964
3,  0, dumb, 3, 39, 11, 2.296412, 0.000000, 0.703588
3,  0, dumb, 4, 3, 11, 0.166573, 0.000000, 0.055524
3,  0, silent, 0, 53, 11, 0.000000, 0.000000, 0.000000
