e, f, n, group, avg. score, avg alive friends, avg dead enemies, average alive
7, 0, 11, silent, 2.000000, 0.000000, 1.507537, 0.603737
7, 0, 11, g1, 2.000000, 0.000000, 1.484304, 0.678966
7, 0, 11, g2, 2.000000, 0.000000, 1.479229, 0.619768
7, 0, 11, g3, 2.000000, 0.000000, 1.279682, 0.607422
7, 0, 11, g4, 2.000000, 0.000000, 1.554152, 0.709847
7, 0, 11, g5, 2.000000, 0.000000, 1.544955, 0.687971
7, 0, 11, g6, 2.000000, 0.000000, 1.518395, 0.680251
7, 0, 11, g7, 2.000000, 0.000000, 1.508228, 0.645466
7, 0, 11, g8, 2.000000, 0.000000, 1.498604, 0.622267
7, 0, 11, g9, 2.000000, 0.000000, 1.627226, 0.740971
8, 0, 11, dumb, 1.000000, 0.000000, 1.023154, 0.283509
8, 0, 11, silent, 3.000000, 0.000000, 1.958085, 0.701258
8, 0, 11, g1, 3.000000, 0.000000, 1.657900, 0.600028
8, 0, 11, g2, 2.000000, 0.000000, 1.684781, 0.666089
8, 0, 11, g3, 2.000000, 0.000000, 1.482845, 0.506106
8, 0, 11, g4, 3.000000, 0.000000, 1.967277, 0.712006
8, 0, 11, g5, 3.000000, 0.000000, 1.697506, 0.637717
8, 0, 11, g6, 3.000000, 0.000000, 1.747915, 0.597277
8, 0, 11, g7, 3.000000, 0.000000, 1.893181, 0.709430
8, 0, 11, g8, 3.000000, 0.000000, 1.834557, 0.694302
8, 0, 11, g9, 3.000000, 0.000000, 1.811717, 0.663326
9, 0, 11, dumb, 1.000000, 0.000000, 1.003656, 0.308021
9, 0, 11, silent, 3.000000, 0.000000, 2.254717, 0.700328
9, 0, 11, g1, 3.000000, 0.000000, 2.025728, 0.646825
9, 0, 11, g2, 2.000000, 0.000000, 1.903461, 0.610128
9, 0, 11, g3, 2.000000, 0.000000, 1.737026, 0.535891
9, 0, 11, g4, 3.000000, 0.000000, 2.112492, 0.649676
9, 0, 11, g5, 3.000000, 0.000000, 2.212731, 0.696708
9, 0, 11, g6, 3.000000, 0.000000, 2.095878, 0.652954
9, 0, 11, g7, 3.000000, 0.000000, 2.150169, 0.658337
9, 0, 11, g8, 3.000000, 0.000000, 2.155406, 0.686498
9, 0, 11, g9, 3.000000, 0.000000, 2.207518, 0.672638
10, 0, 11, dumb, 1.000000, 0.000000, 1.310345, 0.308930
10, 0, 11, silent, 3.000000, 0.000000, 2.747720, 0.753288
10, 0, 11, g1, 3.000000, 0.000000, 2.498388, 0.694797
10, 0, 11, g2, 3.000000, 0.000000, 2.109865, 0.627892
10, 0, 11, g3, 2.000000, 0.000000, 1.931815, 0.562600
10, 0, 11, g4, 3.000000, 0.000000, 2.726678, 0.752734
10, 0, 11, g5, 3.000000, 0.000000, 2.789425, 0.750350
10, 0, 11, g6, 3.000000, 0.000000, 2.660054, 0.733978
10, 0, 11, g7, 3.000000, 0.000000, 2.528223, 0.687080
10, 0, 11, g8, 3.000000, 0.000000, 2.695955, 0.738025
10, 0, 11, g9, 3.000000, 0.000000, 2.707266, 0.731923
0, 2, 11, dumb, 1.000000, 0.777140, 0.000000, 0.395588
0, 2, 11, silent, 2.000000, 1.645451, 0.000000, 0.855011
0, 2, 11, g1, 2.000000, 1.466602, 0.000000, 0.728893
0, 2, 11, g2, 2.000000, 1.622444, 0.000000, 0.813540
0, 2, 11, g3, 2.000000, 1.699897, 0.000000, 0.899423
0, 2, 11, g4, 2.000000, 1.754728, 0.000000, 0.815748
0, 2, 11, g5, 2.000000, 1.670606, 0.000000, 0.867312
0, 2, 11, g6, 2.000000, 1.731678, 0.000000, 0.863150
0, 2, 11, g7, 2.000000, 1.702201, 0.000000, 0.896475
0, 2, 11, g8, 2.000000, 1.675427, 0.000000, 0.855763
0, 2, 11, g9, 2.000000, 1.728154, 0.000000, 0.850976
1, 2, 11, dumb, 1.000000, 0.997382, 0.072603, 0.420162
1, 2, 11, silent, 2.000000, 1.381012, 0.236958, 0.746462
1, 2, 11, g1, 2.000000, 1.237088, 0.255020, 0.628688
1, 2, 11, g2, 2.000000, 1.397687, 0.309523, 0.726544
1, 2, 11, g3, 2.000000, 1.456950, 0.264815, 0.719303
1, 2, 11, g4, 2.000000, 1.458295, 0.228325, 0.765083
1, 2, 11, g5, 2.000000, 1.397896, 0.270237, 0.650994
1, 2, 11, g6, 2.000000, 1.407779, 0.217547, 0.712833
1, 2, 11, g7, 2.000000, 1.415264, 0.285477, 0.736166
1, 2, 11, g8, 2.000000, 1.375499, 0.234712, 0.694980
1, 2, 11, g9, 2.000000, 1.335483, 0.250033, 0.705543
2, 2, 11, dumb, 1.000000, 0.964433, 0.366287, 0.404352
2, 2, 11, silent, 2.000000, 1.181520, 0.579293, 0.655786
2, 2, 11, g1, 2.000000, 1.097860, 0.584712, 0.524319
2, 2, 11, g2, 2.000000, 1.213764, 0.514288, 0.598575
2, 2, 11, g3, 2.000000, 1.125385, 0.597432, 0.620014
2, 2, 11, g4, 2.000000, 1.238541, 0.571317, 0.643984
2, 2, 11, g5, 2.000000, 1.122195, 0.551786, 0.572043
2, 2, 11, g6, 2.000000, 1.256753, 0.672651, 0.660191
2, 2, 11, g7, 2.000000, 1.217124, 0.550505, 0.593916
2, 2, 11, g8, 2.000000, 1.249798, 0.584450, 0.648869
2, 2, 11, g9, 2.000000, 1.314195, 0.640714, 0.624046
3, 2, 11, dumb, 2.000000, 1.001323, 0.426215, 0.459529
3, 2, 11, silent, 3.000000, 1.217489, 0.789792, 0.618671
3, 2, 11, g1, 2.000000, 1.194791, 0.715484, 0.578509
3, 2, 11, g2, 3.000000, 1.150236, 0.737765, 0.598975
3, 2, 11, g3, 3.000000, 1.076901, 0.702692, 0.540435
3, 2, 11, g4, 3.000000, 1.228873, 0.707044, 0.640535
3, 2, 11, g5, 3.000000, 1.181129, 0.774756, 0.601037
3, 2, 11, g6, 3.000000, 1.275522, 0.784677, 0.624643
3, 2, 11, g7, 3.000000, 1.282802, 0.810583, 0.630676
3, 2, 11, g8, 3.000000, 1.245277, 0.706666, 0.643935
3, 2, 11, g9, 3.000000, 1.201278, 0.780829, 0.650415
4, 2, 11, dumb, 2.000000, 0.920129, 0.708516, 0.437917
4, 2, 11, silent, 3.000000, 1.186491, 1.142323, 0.589727
4, 2, 11, g1, 3.000000, 1.037690, 0.892741, 0.477209
4, 2, 11, g2, 3.000000, 1.109453, 0.994392, 0.559618
4, 2, 11, g3, 3.000000, 1.083292, 0.995633, 0.540197
4, 2, 11, g4, 3.000000, 1.172999, 1.082696, 0.570675
4, 2, 11, g5, 3.000000, 1.129539, 1.024524, 0.622496
4, 2, 11, g6, 3.000000, 1.139434, 0.966721, 0.559524
4, 2, 11, g7, 3.000000, 1.071482, 1.001911, 0.558231
4, 2, 11, g8, 3.000000, 1.115037, 1.026056, 0.576135
4, 2, 11, g9, 3.000000, 1.183440, 1.115163, 0.597203
5, 2, 11, dumb, 2.000000, 0.894583, 0.956686, 0.412402
5, 2, 11, silent, 3.000000, 1.114759, 1.346110, 0.492521
5, 2, 11, g1, 3.000000, 0.995984, 1.269714, 0.479414
5, 2, 11, g2, 3.000000, 1.041003, 1.371643, 0.502074
5, 2, 11, g3, 3.000000, 0.992169, 1.360346, 0.504689
5, 2, 11, g4, 3.000000, 1.103864, 1.457162, 0.576510
5, 2, 11, g5, 3.000000, 1.141739, 1.386681, 0.581953
5, 2, 11, g6, 3.000000, 0.974318, 1.343615, 0.510810
5, 2, 11, g7, 3.000000, 0.970748, 1.298115, 0.495788
5, 2, 11, g8, 3.000000, 1.051281, 1.371659, 0.573829
5, 2, 11, g9, 3.000000, 1.035668, 1.320610, 0.516329
6, 2, 11, dumb, 3.000000, 0.933338, 1.152761, 0.355703
6, 2, 11, silent, 4.000000, 1.080472, 1.577849, 0.526391
6, 2, 11, g1, 3.000000, 0.954469, 1.395275, 0.510020
6, 2, 11, g2, 4.000000, 1.065370, 1.650621, 0.560210
6, 2, 11, g3, 3.000000, 0.961634, 1.333031, 0.453570
6, 2, 11, g4, 4.000000, 1.062460, 1.581496, 0.572251
6, 2, 11, g5, 4.000000, 1.001852, 1.542634, 0.571808
6, 2, 11, g6, 4.000000, 1.031548, 1.528839, 0.492484
6, 2, 11, g7, 4.000000, 1.114048, 1.658304, 0.543201
6, 2, 11, g8, 4.000000, 1.102144, 1.601466, 0.505051
6, 2, 11, g9, 4.000000, 1.034054, 1.581165, 0.527048
7, 2, 11, dumb, 3.000000, 0.917249, 1.467038, 0.407428
7, 2, 11, silent, 4.000000, 1.041644, 1.889752, 0.514989
7, 2, 11, g1, 4.000000, 0.931199, 1.609142, 0.465795
7, 2, 11, g2, 4.000000, 1.059735, 1.956793, 0.566624
7, 2, 11, g3, 4.000000, 0.979293, 1.800465, 0.509316
7, 2, 11, g4, 4.000000, 1.017091, 1.914455, 0.533104
7, 2, 11, g5, 4.000000, 1.006080, 1.771530, 0.469602
7, 2, 11, g6, 4.000000, 1.098644, 1.958127, 0.530741
7, 2, 11, g7, 4.000000, 1.052076, 1.929586, 0.543009
7, 2, 11, g8, 4.000000, 1.017453, 1.877882, 0.492406
7, 2, 11, g9, 4.000000, 1.027098, 1.851603, 0.508066
8, 2, 11, dumb, 3.000000, 0.943793, 1.826419, 0.429606
8, 2, 11, silent, 4.000000, 1.026729, 2.114615, 0.524722
8, 2, 11, g1, 4.000000, 0.961702, 1.970690, 0.521593
8, 2, 11, g2, 4.000000, 1.094814, 2.109129, 0.478443
8, 2, 11, g3, 4.000000, 1.028181, 2.005480, 0.477453
8, 2, 11, g4, 4.000000, 1.004420, 2.048876, 0.492080
8, 2, 11, g5, 4.000000, 1.087978, 2.156928, 0.539596
8, 2, 11, g6, 4.000000, 1.043012, 2.223592, 0.547882
8, 2, 11, g7, 4.000000, 1.059163, 2.259051, 0.578149
8, 2, 11, g8, 4.000000, 0.960407, 2.002202, 0.486627
8, 2, 11, g9, 4.000000, 0.987977, 2.022061, 0.498990
0, 4, 11, dumb, 3.000000, 2.557905, 0.000000, 0.637430
0, 4, 11, silent, 4.000000, 3.192315, 0.000000, 0.831453
0, 4, 11, g1, 4.000000, 2.925267, 0.000000, 0.737433
0, 4, 11, g2, 4.000000, 2.927021, 0.000000, 0.733486
0, 4, 11, g3, 4.000000, 3.158632, 0.000000, 0.807933
0, 4, 11, g4, 4.000000, 2.993467, 0.000000, 0.775549
0, 4, 11, g5, 4.000000, 3.227934, 0.000000, 0.817750
0, 4, 11, g6, 4.000000, 3.205294, 0.000000, 0.807933
0, 4, 11, g7, 4.000000, 3.209271, 0.000000, 0.791846
0, 4, 11, g8, 4.000000, 3.196967, 0.000000, 0.822653
0, 4, 11, g9, 4.000000, 3.220424, 0.000000, 0.824579
1, 4, 11, dumb, 3.000000, 2.241979, 0.117193, 0.509542
1, 4, 11, silent, 3.000000, 2.458148, 0.241176, 0.640665
1, 4, 11, g1, 3.000000, 2.327328, 0.225697, 0.567107
1, 4, 11, g2, 4.000000, 2.417845, 0.251700, 0.638723
1, 4, 11, g3, 4.000000, 2.553298, 0.289063, 0.595024
1, 4, 11, g4, 3.000000, 2.426100, 0.239725, 0.625989
1, 4, 11, g5, 4.000000, 2.442845, 0.275294, 0.618915
1, 4, 11, g6, 4.000000, 2.549509, 0.262216, 0.574069
1, 4, 11, g7, 4.000000, 2.534514, 0.327036, 0.683104
1, 4, 11, g8, 4.000000, 2.594259, 0.262500, 0.610538
1, 4, 11, g9, 4.000000, 2.499866, 0.251226, 0.685600
2, 4, 11, dumb, 3.000000, 1.949252, 0.406199, 0.535141
2, 4, 11, silent, 4.000000, 2.204948, 0.501624, 0.549986
2, 4, 11, g1, 4.000000, 2.118650, 0.548347, 0.528400
2, 4, 11, g2, 4.000000, 2.078025, 0.487199, 0.529283
2, 4, 11, g3, 4.000000, 2.202224, 0.553568, 0.531659
